Periodo,Entidad federativa,Número de casos confirmados de paludismo con prueba de gota gruesa positiva que fueron registrados,Población Total,Tasa de incidencia asociada al paludismo por 100 mil habitantes
1999,Sinaloa,1070,2508118,42.66146968
1999,Sonora,0,2247827,0
1999,Tabasco,376,1946169,19.32000767
1999,Tamaulipas,0,2729528,0
1999,Tlaxcala,0,993724,0
1999,Veracruz de Ignacio de la Llave,39,7209103,0.540982699
1999,Yucatán,70,1695601,4.128329719
1999,Zacatecas,0,1419786,0
2000,Nacional,7390,100895811,7.324387333
2000,Aguascalientes,0,1008447,0
2000,Baja California,0,2549842,0
2000,Baja California Sur,0,466455,0
2000,Campeche,37,700708,5.280373565
2000,Coahuila de Zaragoza,0,2393756,0
2000,Colima,0,550291,0
2000,Chiapas,3633,4164853,87.22996946
2000,Chihuahua,705,2987927,23.59495396
2000,Distrito Federal,0,8944935,0
2000,Durango,171,1497613,11.41817011
2000,Guanajuato,0,5143766,0
2000,Guerrero,161,3226387,4.990101931
2000,Hidalgo,0,2390284,0
2000,Jalisco,51,6513479,0.782991701
2000,México,0,12933002,0
2000,Michoacán de Ocampo,135,4162262,3.243428693
2000,Morelos,0,1592066,0
2000,Nayarit,218,936661,23.27416216
2000,Nuevo León,0,3950061,0
2000,Oaxaca,673,3671421,18.3307771
2000,Puebla,7,5250025,0.133332698
2000,Querétaro,0,1554518,0
2000,Quintana Roo,337,938812,35.89643081
2000,San Luis Potosí,0,2390310,0
2000,Sinaloa,791,2537959,31.16677614
2000,Sonora,79,2289991,3.449795218
2000,Tabasco,305,1975910,15.43592573
2000,Tamaulipas,0,2790660,0
2000,Tlaxcala,0,1011736,0
2000,Veracruz de Ignacio de la Llave,36,7232656,0.497742461
2000,Yucatán,51,1721303,2.962871731
2000,Zacatecas,0,1417715,0
2001,Nacional,4996,102122295,4.892173643
2001,Aguascalientes,0,1025563,0
2001,Baja California,0,2627368,0
2001,Baja California Sur,0,480190,0
2001,Campeche,57,714008,7.983103831
2001,Coahuila de Zaragoza,0,2433242,0
2001,Colima,1,557968,0.179221747
2001,Chiapas,2599,4239830,61.29962758
2001,Chihuahua,405,3048688,13.284403
2001,Distrito Federal,0,8961129,0
2001,Durango,138,1511810,9.128131181
2001,Guanajuato,0,5170538,0
2001,Guerrero,89,3240532,2.746462618
2001,Hidalgo,0,2408458,0
2001,Jalisco,27,6592401,0.409562464
2001,México,0,13195345,0
2001,Michoacán de Ocampo,54,4176873,1.292833179
2001,Morelos,0,1611070,0
2001,Nayarit,157,946927,16.57994756
2001,Nuevo León,0,4026904,0
2001,Oaxaca,289,3677835,7.857883782
2001,Puebla,1,5301444,0.018862785
2001,Querétaro,0,1579076,0
2001,Quintana Roo,238,976468,24.37355858
2001,San Luis Potosí,0,2407204,0
2001,Sinaloa,623,2571178,24.23013887
2001,Sonora,59,2330502,2.531643397
2001,Tabasco,227,2004482,11.32462152
2001,Tamaulipas,0,2852000,0
2001,Tlaxcala,0,1027495,0
2001,Veracruz de Ignacio de la Llave,23,7257778,0.316901399
2001,Yucatán,9,1746077,0.515441186
2001,Zacatecas,0,1421912,0
2002,Nacional,4624,103417944,4.471177652
2002,Aguascalientes,0,1043783,0
2002,Baja California,0,2702832,0
2002,Baja California Sur,0,495522,0
2002,Campeche,54,727546,7.422211104
2002,Coahuila de Zaragoza,0,2472921,0
2002,Colima,0,566389,0
2002,Chiapas,2472,4318948,57.23616029
2002,Chihuahua,431,3107892,13.86792076
2002,Distrito Federal,0,8973544,0
2002,Durango,104,1525797,6.816109876
2002,Guanajuato,0,5208629,0
