Periodo,Entidad federativa,Tasa de mortalidad por VIH/SIDA (por 100 mil habitantes),Defunciones por VIH/SIDA,Población total
2003,Zacatecas,1.327215105,19,1431569
2004,Nacional,4.453921773,4719,105951569
2004,Aguascalientes,3.241298964,35,1079814
2004,Baja California,9.873728714,281,2845936
2004,Baja California Sur,6.425714955,34,529124
2004,Campeche,4.903117057,37,754622
2004,Coahuila de Zaragoza,3.215423997,82,2550208
2004,Colima,4.964469803,29,584151
2004,Chiapas,4.534705689,203,4476586
2004,Chihuahua,5.343498407,172,3218865
2004,Distrito Federal,5.78880223,520,8982860
2004,Durango,2.77114886,43,1551703
2004,Guanajuato,2.30948631,122,5282560
2004,Guerrero,5.559856258,183,3291452
2004,Hidalgo,1.814205958,45,2480424
2004,Jalisco,4.719224464,322,6823155
2004,México,2.775774641,388,13978080
2004,Michoacán de Ocampo,2.227018472,94,4220890
2004,Morelos,4.928278522,82,1663867
2004,Nayarit,5.08651656,50,982991
2004,Nuevo León,4.207106202,179,4254706
2004,Oaxaca,3.664204785,137,3738874
2004,Puebla,4.587254495,252,5493482
2004,Querétaro,1.620297162,27,1666361
2004,Quintana Roo,8.951512943,98,1094787
2004,San Luis Potosí,1.828944882,45,2460435
2004,Sinaloa,3.871998496,103,2660125
2004,Sonora,3.414215003,84,2460302
2004,Tabasco,6.835354941,143,2092064
2004,Tamaulipas,4.764334194,144,3022458
2004,Tlaxcala,1.940002199,21,1082473
2004,Veracruz de Ignacio de la Llave,8.721727124,643,7372393
2004,Yucatán,5.210658704,95,1823186
2004,Zacatecas,1.814837694,26,1432635
2005,Nacional,4.33966974,4650,107151011
2005,Aguascalientes,3.556006186,39,1096736
2005,Baja California,9.23549975,269,2912674
2005,Baja California Sur,5.852488039,32,546776
2005,Campeche,4.556716144,35,768097
2005,Coahuila de Zaragoza,2.782589339,72,2587518
2005,Colima,5.388774845,32,593827
2005,Chiapas,4.946105041,225,4549034
2005,Chihuahua,5.198285544,170,3270309
2005,Distrito Federal,5.701295541,512,8980415
2005,Durango,2.745449577,43,1566228
2005,Guanajuato,2.147855348,114,5307620
2005,Guerrero,5.262605528,174,3306347
2005,Hidalgo,1.357561819,34,2504490
2005,Jalisco,4.591868366,317,6903508
2005,México,2.803243106,399,14233514
2005,Michoacán de Ocampo,2.220166338,94,4233917
2005,Morelos,4.756341541,80,1681965
2005,Nayarit,6.515761627,65,997581
2005,Nuevo León,3.833287996,166,4330486
2005,Oaxaca,4.18715796,157,3749560
2005,Puebla,3.191682727,177,5545664
2005,Querétaro,1.595429744,27,1692334
2005,Quintana Roo,7.670036781,87,1134284
2005,San Luis Potosí,2.058381345,51,2477675
2005,Sinaloa,3.383958845,91,2689158
2005,Sonora,3.757515531,94,2501653
2005,Tabasco,7.404504297,157,2120331
2005,Tamaulipas,4.812533919,148,3075303
2005,Tlaxcala,2.548559154,28,1098660
2005,Veracruz de Ignacio de la Llave,8.839489712,655,7409930
2005,Yucatán,4.599350572,85,1848087
2005,Zacatecas,1.461042349,21,1437330
2006,Nacional,4.560514247,4944,108408827
2006,Aguascalientes,3.680103833,41,1114099
2006,Baja California,9.236122306,275,2977440
2006,Baja California Sur,7.964263465,45,565024
2006,Campeche,5.373455132,42,781620
2006,Coahuila de Zaragoza,3.009143225,79,2625332
2006,Colima,5.123450363,31,605061
2006,Chiapas,5.54568813,256,4616199
2006,Chihuahua,5.98957573,199,3322439
2006,Distrito Federal,5.636027986,506,8977954
2006,Durango,1.955246304,31,1585478
2006,Guanajuato,1.799941052,96,5333508
2006,Guerrero,5.533037496,184,3325479
2006,Hidalgo,1.658806426,42,2531941
2006,Jalisco,4.05661202,284,7000916
2006,México,2.904044506,421,14497023
2006,Michoacán de Ocampo,1.972421323,84,4258725
2006,Morelos,4.752004055,81,1704544
2006,Nayarit,5.216987298,53,1015912
2006,Nuevo León,4.128073714,182,4408836
2006,Oaxaca,5.434574121,204,3753744
2006,Puebla,3.5236712,197,5590760
2006,Querétaro,2.679337994,46,1716842
2006,Quintana Roo,8.087556741,95,1174644
2006,San Luis Potosí,2.640111941,66,2499894
2006,Sinaloa,4.078393333,111,2721660
2006,Sonora,3.776438016,96,2542078
2006,Tabasco,8.942331741,192,2147091
2006,Tamaulipas,5.911702807,185,3129386
2006,Tlaxcala,2.515397828,28,1113144
2006,Veracruz de Ignacio de la Llave,9.286750705,692,7451476
2006,Yucatán,4.272196598,80,1872573
2006,Zacatecas,1.3812107,20,1448005
2007,Nacional,4.638966363,5093,109787388
2007,Aguascalientes,3.08905662,35,1133032
2007,Baja California,9.533881937,290,3041783
2007,Baja California Sur,3.934051611,23,584639
2007,Campeche,7.920045257,63,795450
2007,Coahuila de Zaragoza,3.453428823,92,2664019
2007,Colima,7.939774381,49,617146
2007,Chiapas,5.183431619,243,4688014
2007,Chihuahua,5.982448326,202,3376544
2007,Distrito Federal,6.040040341,542,8973450
2007,Durango,2.865302741,46,1605415
2007,Guanajuato,2.250307046,121,5377044
2007,Guerrero,5.25398228,176,3349840
2007,Hidalgo,1.83219367,47,2565231
2007,Jalisco,4.083559196,290,7101648
2007,México,2.979959771,440,14765300
2007,Michoacán de Ocampo,2.260935762,97,4290259
2007,Morelos,4.573024251,79,1727522
2007,Nayarit,6.274749058,65,1035898
2007,Nuevo León,3.387408557,152,4487206
2007,Oaxaca,4.982017038,188,3773572
2007,Puebla,3.963870734,224,5651042
2007,Querétaro,2.919296896,51,1746996
2007,Quintana Roo,7.634252016,93,1218194
2007,San Luis Potosí,2.415750695,61,2525095
2007,Sinaloa,3.522464243,97,2753754
2007,Sonora,3.866886306,100,2586060
2007,Tabasco,9.013715564,196,2174464
2007,Tamaulipas,5.840706964,186,3184546
2007,Tlaxcala,1.857741252,21,1130405
2007,Veracruz de Ignacio de la Llave,9.300119383,698,7505280
2007,Yucatán,5.84631153,111,1898633
2007,Zacatecas,1.027462708,15,1459907
2008,Nacional,4.656824681,5183,111299015
