Periodo,Entidad de Residencia,Defunciones por Diabetes Tipo II,Poblacion Total,Tasa de Mortalidad por Diabetes Tipo II
2009,Sinaloa,717,2820908,25.41734789
2009,Sonora,644,2679501,24.03432579
2009,Tabasco,955,2229667,42.83150802
2009,Tamaulipas,1235,3290198,37.53573493
2009,Tlaxcala,681,1168846,58.26259405
2009,Veracruz Llave,3346,7646283,43.75982422
2009,Yucatán,707,1953829,36.18535706
2009,Zacatecas,487,1494169,32.59336795
2009,Nacional,45776,112852594,40.56264759
2010,Aguascalientes,456,1195787,38.1338817
2010,Baja California,737,3224844,22.85381867
2010,Baja California Sur,168,649616,25.86143198
2010,Campeche,360,836748,43.02370606
2010,Coahuila de Zaragoza,1201,2782013,43.17017929
2010,Colima,217,658910,32.93317752
2010,Chiapas,1429,4903755,29.14093384
2010,Chihuahua,1381,3525273,39.17427104
2010,Distrito Federal,6231,8944599,69.66215031
2010,Durango,514,1669815,30.78185308
2010,Guanajuato,2613,5558502,47.00906827
2010,Guerrero,1450,3444264,42.09897964
2010,Hidalgo,1160,2690086,43.12129798
2010,Jalisco,2919,7442625,39.22003325
2010,México,7655,15571679,49.15975984
2010,Michoacán de Ocampo,2217,4420271,50.15529591
2010,Morelos,974,1803340,54.0108909
2010,Nayarit,433,1108860,39.0491135
2010,Nuevo León,1597,4723273,33.81129992
2010,Oaxaca,1595,3868109,41.23461878
2010,Puebla,3071,5863823,52.37197644
2010,Querétaro de Arteaga,611,1848191,33.05935371
2010,Quintana Roo,360,1350945,26.64801306
2010,San Luis Potosí,976,2616459,37.30232348
2010,Sinaloa,830,2851334,29.10918188
2010,Sonora,719,2727032,26.36566054
2010,Tabasco,1052,2252641,46.70073927
2010,Tamaulipas,1372,3334664,41.14357548
2010,Tlaxcala,703,1186143,59.26772742
2010,Veracruz Llave,3854,7712247,49.97246587
2010,Yucatán,818,1980690,41.29873933
2010,Zacatecas,462,1509019,30.6159167
2010,Nacional,50135,114255557,43.87970381
2011,Aguascalientes,391,1215094,32.17858042
2011,Baja California,764,3275399,23.32540249
2011,Baja California Sur,183,672682,27.20453349
2011,Campeche,357,852373,41.88307232
2011,Coahuila de Zaragoza,1187,2818077,42.12092147
2011,Colima,269,672263,40.01410162
2011,Chiapas,1409,4980633,28.28957685
2011,Chihuahua,1314,3559248,36.91791075
2011,Distrito Federal,6056,8928400,67.82850231
2011,Durango,542,1690418,32.06307552
2011,Guanajuato,2585,5614698,46.03987605
2011,Guerrero,1497,3473454,43.09831079
2011,Hidalgo,1134,2730570,41.52979048
2011,Jalisco,2926,7543233,38.78973379
2011,México,7715,15845558,48.68872399
2011,Michoacán de Ocampo,2256,4458100,50.60451762
2011,Morelos,872,1827187,47.72363201
2011,Nayarit,438,1132215,38.68523205
2011,Nuevo León,1410,4797263,29.39175943
2011,Oaxaca,1566,3901419,40.13924165
2011,Puebla,3011,5935014,50.73282051
2011,Querétaro de Arteaga,588,1881105,31.25822323
2011,Quintana Roo,314,1395357,22.50320169
2011,San Luis Potosí,969,2647570,36.59959888
2011,Sinaloa,820,2878525,28.48681182
2011,Sonora,769,2767364,27.78817676
2011,Tabasco,1091,2283140,47.78506793
2011,Tamaulipas,1300,3376515,38.50123574
2011,Tlaxcala,652,1206291,54.04997633
2011,Veracruz Llave,3892,7791801,49.94994097
2011,Yucatán,724,2009160,36.03495988
2011,Zacatecas,475,1522741,31.19374864
2011,Nacional,49476,115682867,42.76864957
2012,Aguascalientes,485,1233921,39.30559574
2012,Baja California,853,3328623,25.6262124
2012,Baja California Sur,192,695409,27.6096513
2012,Campeche,362,866375,41.78329245
2012,Coahuila de Zaragoza,1215,2854334,42.56684747
2012,Colima,321,685394,46.83437556
2012,Chiapas,1552,5050568,30.72921699
2012,Chihuahua,1306,3598792,36.28995507
2012,Distrito Federal,6401,8911665,71.82720625
2012,Durango,605,1709741,35.38547651
2012,Guanajuato,2924,5668181,51.58621434
2012,Guerrero,1565,3499507,44.72058493
2012,Hidalgo,1225,2768973,44.24022914
2012,Jalisco,3100,7644152,40.553877
2012,México,8337,16106485,51.76175932
2012,Michoacán de Ocampo,2428,4494730,54.01881759
2012,Morelos,963,1850812,52.03121657
2012,Nayarit,430,1155448,37.21500232
2012,Nuevo León,1599,4868844,32.8414712
2012,Oaxaca,1627,3930833,41.39071795
2012,Puebla,3272,6002161,54.51369932
2012,Querétaro de Arteaga,680,1912803,35.54992333
2012,Quintana Roo,395,1440115,27.4283651
2012,San Luis Potosí,994,2675311,37.15455885
2012,Sinaloa,853,2905750,29.35558806
2012,Sonora,726,2809806,25.83808277
2012,Tabasco,1135,2309071,49.15396711
2012,Tamaulipas,1402,3419338,41.00208871
2012,Tlaxcala,772,1224637,63.03908832
2012,Veracruz Llave,4263,7858604,54.2462758
2012,Yucatán,750,2036694,36.82438304
2012,Zacatecas,493,1536674,32.0822764
2012,Nacional,53225,117053751,45.47056335
2013,Aguascalientes,481,1252265,38.41040035
2013,Baja California,941,3381080,27.83134383
2013,Baja California Sur,212,718196,29.51840445
2013,Campeche,403,880299,45.77989978
2013,Coahuila de Zaragoza,1250,2890108,43.25097886
2013,Colima,354,698295,50.69490688
2013,Chiapas,1650,5119186,32.23168683
2013,Chihuahua,1458,3635966,40.09938487
2013,Distrito Federal,5470,8893742,61.5039204
2013,Durango,686,1728429,39.68922067
2013,Guanajuato,3307,5719709,57.81762674
2013,Guerrero,1733,3523858,49.17905319
2013,Hidalgo,1339,2806334,47.71349383
2013,Jalisco,3254,7742303,42.02883819
2013,México,8359,16364210,51.08098711
2013,Michoacán de Ocampo,2607,4529914,57.55076145
2013,Morelos,1011,1874188,53.94336107
2013,Nayarit,421,1178403,35.72631774
2013,Nuevo León,1763,4941059,35.68061017
2013,Oaxaca,1866,3959042,47.13261441
2013,Puebla,3607,6067607,59.4468297
2013,Querétaro de Arteaga,790,1943889,40.64018059
2013,Quintana Roo,451,1484960,30.37118845
2013,San Luis Potosí,1149,2702145,42.52177437
2013,Sinaloa,854,2932313,29.1237668
2013,Sonora,809,2851462,28.37141088
2013,Tabasco,1293,2334493,55.3867585
2013,Tamaulipas,1526,3461336,44.08702305
2013,Tlaxcala,844,1242734,67.914775
2013,Veracruz Llave,4615,7923198,58.24668272
2013,Yucatán,857,2064151,41.5182804
2013,Zacatecas,632,1550179,40.76948533
2013,Nacional,55992,118395053,47.29251652
