Periodo,Entidad federativa,Tasa de mortalidad en niños menores de 5 años,Defunciones en la población menor de 5 años de edad,Nacidos vivos
2002,Oaxaca,31.13148619,2791,89652
2002,Puebla,29.62837863,4035,136187
2002,Querétaro,21.41834743,823,38425
2002,Quintana Roo,20.17958868,418,20714
2002,San Luis Potosí,23.29519925,1348,57866
2002,Sinaloa,16.2854152,949,58273
2002,Sonora,19.02325492,989,51989
2002,Tabasco,21.09430515,1039,49255
2002,Tamaulipas,18.92477918,1187,62722
2002,Tlaxcala,26.97827922,703,26058
2002,Veracruz de Ignacio de la Llave,25.40415704,3993,157179
2002,Yucatán,18.80091916,720,38296
2002,Zacatecas,20.48724804,682,33289
2003,Nacional,22.07395621,51301,2324051
2003,Aguascalientes,17.26471341,472,27339
2003,Baja California,23.08062486,1247,54028
2003,Baja California Sur,17.62027321,178,10102
2003,Campeche,18.65099642,292,15656
2003,Coahuila de Zaragoza,15.64065855,874,55880
2003,Colima,17.17663977,215,12517
2003,Chiapas,30.24075404,3664,121161
2003,Chihuahua,23.6578309,1619,68434
2003,Distrito Federal,16.69398728,2546,152510
2003,Durango,19.09989023,696,36440
2003,Guanajuato,21.33584471,2628,123173
2003,Guerrero,28.20737623,2413,85545
2003,Hidalgo,24.68448081,1418,57445
2003,Jalisco,18.27131377,2758,150947
2003,México,23.8996229,7282,304691
2003,Michoacán de Ocampo,22.00573789,2094,95157
2003,Morelos,18.75889047,633,33744
2003,Nayarit,18.67496665,378,20241
2003,Nuevo León,13.8124477,1172,84851
2003,Oaxaca,29.6803653,2626,88476
2003,Puebla,28.38923249,3842,135333
2003,Querétaro,20.52540868,786,38294
2003,Quintana Roo,19.48756665,413,21193
2003,San Luis Potosí,22.41862093,1281,57140
2003,Sinaloa,15.64444752,905,57848
2003,Sonora,18.33963858,955,52073
2003,Tabasco,20.20469205,993,49147
2003,Tamaulipas,18.239919,1153,63213
2003,Tlaxcala,25.82827273,672,26018
2003,Veracruz de Ignacio de la Llave,24.36999857,3758,154206
2003,Yucatán,18.1189778,692,38192
2003,Zacatecas,19.54200321,646,33057
2004,Nacional,21.22906331,49138,2314657
2004,Aguascalientes,16.62638248,454,27306
2004,Baja California,22.32542832,1221,54691
2004,Baja California Sur,17.09151284,175,10239
2004,Campeche,18.09032422,284,15699
2004,Coahuila de Zaragoza,15.05124978,837,55610
2004,Colima,16.66535029,211,12661
2004,Chiapas,28.89336418,3472,120166
2004,Chihuahua,22.93962799,1586,69138
2004,Distrito Federal,16.20523983,2442,150692
2004,Durango,18.31420393,659,35983
2004,Guanajuato,20.39763093,2490,122073
2004,Guerrero,27.07171149,2276,84073
2004,Hidalgo,23.76545366,1361,57268
2004,Jalisco,17.55760155,2645,150647
2004,México,23.08184038,7041,305045
2004,Michoacán de Ocampo,21.13786716,1997,94475
2004,Morelos,18.1275136,613,33816
2004,Nayarit,18.05624075,366,20270
2004,Nuevo León,13.35152749,1135,85009
2004,Oaxaca,28.37081859,2485,87590
2004,Puebla,27.19516002,3659,134546
2004,Querétaro,19.63093836,750,38205
2004,Quintana Roo,18.82288128,410,21782
2004,San Luis Potosí,21.58515423,1219,56474
2004,Sinaloa,15.10189862,867,57410
2004,Sonora,17.74103838,925,52139
2004,Tabasco,19.39396406,953,49139
2004,Tamaulipas,17.63169011,1127,63919
2004,Tlaxcala,24.68707876,641,25965
2004,Veracruz de Ignacio de la Llave,23.43141526,3550,151506
2004,Yucatán,17.58747939,672,38209
2004,Zacatecas,18.68619349,615,32912
2005,Nacional,20.5022838,47198,2302085
2005,Aguascalientes,16.05995717,435,27086
2005,Baja California,21.68770428,1201,55377
2005,Baja California Sur,16.75170887,174,10387
2005,Campeche,17.38909691,274,15757
2005,Coahuila de Zaragoza,14.53278452,805,55392
2005,Colima,16.04194381,205,12779
2005,Chiapas,27.66954419,3295,119084
2005,Chihuahua,22.37896578,1561,69753
2005,Distrito Federal,15.76066884,2347,148915
2005,Durango,17.63877148,626,35490
2005,Guanajuato,19.6826872,2372,120512
2005,Guerrero,26.14918132,2156,82450
2005,Hidalgo,22.98790018,1309,56943
2005,Jalisco,16.98145902,2548,150046
2005,México,22.35318425,6816,304923
2005,Michoacán de Ocampo,20.45896455,1915,93602
2005,Morelos,17.60146728,595,33804
2005,Nayarit,17.4902695,355,20297
2005,Nuevo León,12.9477265,1100,84957
2005,Oaxaca,27.2973223,2361,86492
2005,Puebla,26.21004018,3496,133384
2005,Querétaro,18.91650465,720,38062
2005,Quintana Roo,18.20285727,409,22469
2005,San Luis Potosí,20.84825906,1164,55832
2005,Sinaloa,14.61572244,832,56925
2005,Sonora,17.22583492,898,52131
2005,Tabasco,18.7467952,914,48755
2005,Tamaulipas,17.03501212,1103,64749
2005,Tlaxcala,23.74312495,613,25818
2005,Veracruz de Ignacio de la Llave,22.5641576,3364,149086
2005,Yucatán,17.01560417,651,38259
2005,Zacatecas,17.93116153,584,32569
2006,Nacional,19.7701826,45277,2290166
2006,Aguascalientes,15.5602821,417,26799
2006,Baja California,21.16402116,1180,55755
2006,Baja California Sur,16.2116041,171,10548
2006,Campeche,16.87097182,267,15826
2006,Coahuila de Zaragoza,14.04871674,774,55094
2006,Colima,15.42635659,199,12900
2006,Chiapas,26.50455309,3126,117942
2006,Chihuahua,21.86275208,1534,70165
2006,Distrito Federal,15.34430882,2249,146569
2006,Durango,16.99409769,596,35071
2006,Guanajuato,18.90475269,2247,118859
2006,Guerrero,25.14930079,2034,80877
2006,Hidalgo,22.18560062,1252,56433
2006,Jalisco,16.37909143,2451,149642
2006,México,21.61484256,6601,305392
2006,Michoacán de Ocampo,19.71670044,1829,92764
2006,Morelos,17.0575693,576,33768
2006,Nayarit,16.78621968,344,20493
2006,Nuevo León,12.57277271,1069,85025
2006,Oaxaca,26.19539205,2233,85244
2006,Puebla,25.15542077,3318,131900
2006,Querétaro,18.21904862,694,38092
2006,Quintana Roo,17.49551129,419,23949
2006,San Luis Potosí,20.08112121,1109,55226
2006,Sinaloa,14.16070008,801,56565
2006,Sonora,16.68609874,873,52319
2006,Tabasco,18.10677397,873,48214
2006,Tamaulipas,16.4877826,1083,65685
2006,Tlaxcala,22.74855627,583,25628
2006,Veracruz de Ignacio de la Llave,21.72329519,3191,146893
2006,Yucatán,16.4640192,631,38326
2006,Zacatecas,17.17231314,553,32203
2007,Nacional,19.07524864,43521,2281543
2007,Aguascalientes,14.98688647,400,26690
2007,Baja California,20.60954284,1155,56042
2007,Baja California Sur,15.84786054,170,10727
2007,Campeche,16.26680065,259,15922
2007,Coahuila de Zaragoza,13.6158718,746,54789
2007,Colima,14.89329034,194,13026
2007,Chiapas,25.38214274,2969,116972
2007,Chihuahua,21.29990609,1497,70282
2007,Distrito Federal,14.93666493,2152,144075
2007,Durango,16.37315838,569,34752
2007,Guanajuato,18.12645258,2137,117894
2007,Guerrero,24.18007562,1925,79611
2007,Hidalgo,21.37224819,1198,56054
2007,Jalisco,15.84628237,2371,149625
