Periodo,Entidad de Residencia,Defunciones por Neoplasias Malignas,Poblacion Total,Tasa de Mortalidad por Neoplasias Malignas
2000,Campeche,341,700708,48.66506448
2000,Coahuila de Zaragoza,1542,2393756,64.4175931
2000,Colima,352,550291,63.96615609
2000,Chiapas,1856,4164853,44.56339756
2000,Chihuahua,2026,2987927,67.80620812
2000,Distrito Federal,6193,8944935,69.23471216
2000,Durango,770,1497613,51.41515198
2000,Guanajuato,2329,5143766,45.27810946
2000,Guerrero,1241,3226387,38.46407762
2000,Hidalgo,991,2390284,41.45950858
2000,Jalisco,4216,6513479,64.72731393
2000,México,5354,12933002,41.39796777
2000,Michoacán de Ocampo,2449,4162262,58.83819904
2000,Morelos,931,1592066,58.47747518
2000,Nayarit,649,936661,69.28867541
2000,Nuevo León,2560,3950061,64.80912573
2000,Oaxaca,1722,3671421,46.90282046
2000,Puebla,2390,5250025,45.52359274
2000,Querétaro de Arteaga,639,1554518,41.10598912
2000,Quintana Roo,255,938812,27.1619877
2000,San Luis Potosí,1294,2390310,54.13523769
2000,Sinaloa,1702,2537959,67.06176104
2000,Sonora,1639,2289991,71.57233369
2000,Tabasco,886,1975910,44.84009899
2000,Tamaulipas,1757,2790660,62.96001663
2000,Tlaxcala,365,1011736,36.07660496
2000,Veracruz Llave,4269,7232656,59.02396022
2000,Yucatán,1009,1721303,58.61838386
2000,Zacatecas,810,1417715,57.13419129
2000,Nacional,54650,100895811,54.16478589
2001,Aguascalientes,505,1025563,49.24124603
2001,Baja California,1408,2627368,53.58975218
2001,Baja California Sur,277,480190,57.68549949
2001,Campeche,326,714008,45.65775173
2001,Coahuila de Zaragoza,1488,2433242,61.15298026
2001,Colima,340,557968,60.93539414
2001,Chiapas,1911,4239830,45.07256187
2001,Chihuahua,2075,3048688,68.06206473
2001,Distrito Federal,6324,8961129,70.57146482
2001,Durango,872,1511810,57.67920572
2001,Guanajuato,2287,5170538,44.23137399
2001,Guerrero,1352,3240532,41.72154449
2001,Hidalgo,1157,2408458,48.03903576
2001,Jalisco,4127,6592401,62.60238114
2001,México,5705,13195345,43.23494384
2001,Michoacán de Ocampo,2425,4176873,58.05778629
2001,Morelos,905,1611070,56.17384719
2001,Nayarit,622,946927,65.68616166
2001,Nuevo León,2493,4026904,61.90860274
2001,Oaxaca,1805,3677835,49.07778625
2001,Puebla,2415,5301444,45.55362652
2001,Querétaro de Arteaga,653,1579076,41.35329775
2001,Quintana Roo,298,976468,30.51815318
2001,San Luis Potosí,1321,2407204,54.87694437
2001,Sinaloa,1652,2571178,64.25070532
2001,Sonora,1656,2330502,71.05765196
2001,Tabasco,1010,2004482,50.38708255
2001,Tamaulipas,1802,2852000,63.18373072
2001,Tlaxcala,441,1027495,42.91991689
2001,Veracruz Llave,4360,7257778,60.07348255
2001,Yucatán,1038,1746077,59.44755014
2001,Zacatecas,841,1421912,59.14571366
2001,Nacional,55891,102122295,54.729479
2002,Aguascalientes,573,1043783,54.89646794
2002,Baja California,1466,2702832,54.23940519
2002,Baja California Sur,296,495522,59.73498654
2002,Campeche,381,727546,52.36782279
2002,Coahuila de Zaragoza,1587,2472921,64.17511922
2002,Colima,361,566389,63.73711354
2002,Chiapas,1923,4318948,44.52473149
2002,Chihuahua,2160,3107892,69.50048457
2002,Distrito Federal,6357,8973544,70.84157608
2002,Durango,855,1525797,56.03628792
2002,Guanajuato,2487,5208629,47.74768946
2002,Guerrero,1334,3258145,40.94354303
2002,Hidalgo,1239,2431444,50.95737348
2002,Jalisco,4345,6671656,65.12625951
2002,México,5980,13459745,44.42877633
2002,Michoacán de Ocampo,2477,4193971,59.06097109
2002,Morelos,968,1629599,59.40111647
2002,Nayarit,644,958314,67.20135571
2002,Nuevo León,2670,4103482,65.06669214
2002,Oaxaca,1971,3696385,53.32236766
2002,Puebla,2586,5364489,48.20589622
2002,Querétaro de Arteaga,672,1607589,41.80172917
2002,Quintana Roo,304,1015299,29.94191859
2002,San Luis Potosí,1345,2425828,55.44498621
2002,Sinaloa,1760,2602506,67.62712555
2002,Sonora,1653,2373321,69.64923835
2002,Tabasco,1060,2033695,52.12187668
2002,Tamaulipas,1901,2911087,65.30206758
2002,Tlaxcala,465,1045455,44.47824153
2002,Veracruz Llave,4543,7294006,62.28401786
2002,Yucatán,1056,1771733,59.60266022
2002,Zacatecas,905,1426392,63.44679443
2002,Nacional,58324,103417944,56.39640254
2003,Aguascalientes,568,1062250,53.47140504
2003,Baja California,1649,2775926,59.40360082
2003,Baja California Sur,324,511831,63.30214465
2003,Campeche,360,741113,48.57558834
2003,Coahuila de Zaragoza,1606,2512261,63.92647898
2003,Colima,359,575411,62.39018719
2003,Chiapas,2046,4397267,46.52890079
2003,Chihuahua,2217,3165454,70.03734693
2003,Distrito Federal,6634,8982214,73.85706909
2003,Durango,795,1540255,51.61483001
2003,Guanajuato,2536,5247781,48.32518735
2003,Guerrero,1472,3276596,44.92467182
2003,Hidalgo,1285,2456380,52.31275291
2003,Jalisco,4407,6752883,65.26101518
2003,México,6295,13723512,45.8701825
2003,Michoacán de Ocampo,2485,4212077,58.99702213
2003,Morelos,999,1648428,60.60319286
2003,Nayarit,668,970986,68.79604855
2003,Nuevo León,2691,4180268,64.37386311
