Periodo,Entidad federativa,Casos confirmados de tuberculosis,Población total,Tasa de incidencia asociada a la tuberculosis (todas las formas) por 100 mil habitantes
2009,Chihuahua,691,3485093,19.82730447
2009,Distrito Federal,668,8961594,7.454031057
2009,Durango,208,1650042,12.60573973
2009,Guanajuato,363,5503354,6.595977653
2009,Guerrero,1163,3415204,34.05360265
2009,Hidalgo,270,2649264,10.19150979
2009,Jalisco,986,7331993,13.44791246
2009,México,632,15315644,4.126499676
2009,Michoacán de Ocampo,326,4381615,7.440179021
2009,Morelos,219,1779708,12.30538942
2009,Nayarit,324,1083772,29.89558689
2009,Nuevo León,974,4646180,20.96345815
2009,Oaxaca,816,3838339,21.25919571
2009,Puebla,460,5796436,7.935910963
2009,Querétaro,214,1815459,11.7876526
2009,Quintana Roo,202,1305885,15.46843711
2009,San Luis Potosí,435,2589037,16.80161388
2009,Sinaloa,763,2820908,27.04802851
2009,Sonora,829,2679501,30.9385964
2009,Tabasco,540,2229667,24.21886318
2009,Tamaulipas,1037,3290198,31.51786002
2009,Tlaxcala,46,1168846,3.935505618
2009,Veracruz de Ignacio de la Llave,1996,7646283,26.10418683
2009,Yucatán,188,1953829,9.622131722
2009,Zacatecas,114,1494169,7.629659028
2008,Estados Unidos Mexicanos,18210,111299015,16.36133078
2008,Aguascalientes,96,1154011,8.318811519
2008,Baja California,1568,3105709,50.48766642
2008,Baja California Sur,144,605343,23.78816638
2008,Campeche,88,809636,10.86908191
2008,Coahuila de Zaragoza,480,2703905,17.75210298
2008,Colima,125,630606,19.82220277
2008,Chiapas,1242,4762080,26.08104022
2008,Chihuahua,664,3431517,19.35004256
2008,Distrito Federal,768,8969421,8.562425601
2008,Durango,220,1628321,13.51084952
2008,Guanajuato,338,5437620,6.215954774
2008,Guerrero,1155,3380933,34.16216766
2008,Hidalgo,276,2605175,10.59429789
2008,Jalisco,916,7213583,12.69826659
2008,México,690,15040385,4.587648521
2008,Michoacán de Ocampo,314,4333681,7.245572528
2008,Morelos,232,1753157,13.23327004
2008,Nayarit,317,1058677,29.94303267
2008,Nuevo León,1034,4566871,22.64132269
2008,Oaxaca,760,3804078,19.97855985
2008,Puebla,521,5722490,9.104428317
2008,Querétaro,219,1780583,12.29934241
2008,Quintana Roo,151,1261970,11.96541915
2008,San Luis Potosí,405,2555735,15.84671337
2008,Sinaloa,816,2787098,29.2777649
2008,Sonora,727,2632192,27.61956575
2008,Tabasco,498,2202203,22.61371908
2008,Tamaulipas,1108,3239174,34.20625135
2008,Tlaxcala,50,1149453,4.349895124
2008,Veracruz de Ignacio de la Llave,1945,7571413,25.68873208
2008,Yucatán,223,1925861,11.57923651
2008,Zacatecas,120,1476134,8.129343271
2007,Estados Unidos Mexicanos,17329,109787388,15.78414453
2007,Aguascalientes,82,1133032,7.237218366
2007,Baja California,1364,3041783,44.84212056
2007,Baja California Sur,168,584639,28.73568133
2007,Campeche,134,795450,16.84581055
2007,Coahuila de Zaragoza,492,2664019,18.46833675
2007,Colima,138,617146,22.36099724
2007,Chiapas,1080,4688014,23.03747386
2007,Chihuahua,713,3376544,21.11626563
2007,Distrito Federal,708,8973450,7.889941996
2007,Durango,217,1605415,13.51675423
2007,Guanajuato,311,5377044,5.783847036
2007,Guerrero,1006,3349840,30.03128508
2007,Hidalgo,255,2565231,9.94062523
